step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,4e-6,5.079610,160.7114,1683.04,1.3519,0.263444,0.298132,36.657360
20,20,8e-6,4.839132,126.3596,1546.55,1.2497,0.246871,0.246285,37.483849
30,30,1.19999995e-5,4.591695,98.6616,1553.63,1.2488,0.238025,0.213395,35.630867
40,40,1.6e-5,4.352109,77.6420,1410.05,1.2316,0.237405,0.173286,33.242672
50,50,2e-5,4.129298,62.1343,1529.96,1.3427,0.221302,0.128722,27.964819
60,60,2.3999999e-5,3.929863,50.9000,1676.86,1.3686,0.209798,0.090704,26.240396
70,70,2.7999999e-5,3.821313,45.6641,1615.96,1.3003,0.218813,0.073587,27.260624
80,80,3.2e-5,3.698922,40.4037,1626.44,1.3122,0.224229,0.063950,26.047379
90,90,3.6e-5,3.636681,37.9656,1539.30,1.2466,0.236833,0.060066,27.461040
100,100,4e-5,3.531986,34.1918,1605.19,1.2914,0.226929,0.054139,25.231359
110,110,4.4e-5,3.453744,31.6185,1541.97,1.3509,0.236618,0.053956,23.975306
120,120,4.7999998e-5,3.372605,29.1544,1649.79,1.3296,0.241952,0.052322,23.824699
130,130,5.1999996e-5,3.317811,27.5999,1613.45,1.3547,0.248862,0.052449,23.841425
140,140,5.5999997e-5,3.358542,28.7472,1569.39,1.2632,0.278256,0.052549,25.394884
150,150,6.0000002e-5,3.300858,27.1359,1524.22,1.2272,0.283120,0.050083,25.901327
160,160,6.4e-5,3.256082,25.9477,1512.90,1.2268,0.298159,0.048855,25.301220
170,170,6.8e-5,3.161397,23.6035,1481.00,1.2813,0.301732,0.046672,23.164303
180,180,7.2e-5,3.083226,21.8287,1564.92,1.2612,0.323974,0.045133,22.897995
190,190,7.6e-5,3.046099,21.0331,1611.43,1.3022,0.344727,0.044221,22.401255
200,200,8e-5,3.002244,20.1307,1504.01,1.2999,0.395413,0.048477,22.364239
210,210,8.399999e-5,2.923913,18.6140,1634.68,1.3156,0.378973,0.039832,21.109802
220,220,8.8e-5,2.891428,18.0190,1564.79,1.2577,0.407974,0.037445,21.933887
230,230,9.2e-5,2.804607,16.5206,1575.25,1.2679,0.450528,0.037498,21.012787
240,240,9.5999996e-5,2.718951,15.1644,1579.77,1.3088,0.469092,0.035000,19.460951
250,250,1e-4,2.707062,14.9852,1627.03,1.3125,0.508169,0.039753,19.464022
260,260,1.0399999e-4,2.695188,14.8083,1436.98,1.2646,0.558159,0.040707,20.208294
270,270,1.08e-4,2.603543,13.5115,1606.50,1.3017,0.558511,0.036873,18.714136
280,280,1.11999994e-4,2.535990,12.6289,1704.24,1.3694,0.556250,0.034475,17.171463
290,290,1.15999996e-4,2.556157,12.8862,1511.91,1.2694,0.645178,0.037387,18.982315
