step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
10,10,1e-6,5.293952,199.1289,2289.85,1.8422,32.911495
20,20,2e-6,5.237721,188.2406,2234.74,1.8087,35.325603
30,30,2.9999999e-6,5.031341,153.1382,2237.52,1.8013,33.994377
40,40,4e-6,4.880920,131.7518,2016.22,1.7640,32.390270
50,50,5e-6,4.728669,113.1449,2003.35,1.7612,27.277912
60,60,5.9999998e-6,4.449895,85.6179,2158.06,1.7642,25.249485
70,70,6.9999996e-6,4.194238,66.3032,2198.15,1.7715,25.730968
80,80,8e-6,4.021673,55.7944,2149.13,1.7367,24.302929
90,90,9e-6,3.852469,47.1092,2136.24,1.7328,25.209280
100,100,1e-5,3.695360,40.2601,2146.31,1.7295,22.692772
110,110,1.1e-5,3.611099,37.0067,1973.46,1.7319,21.453739
120,120,1.19999995e-5,3.419633,30.5582,2152.38,1.7374,20.727800
130,130,1.2999999e-5,3.325457,27.8117,2057.11,1.7300,20.571531
140,140,1.3999999e-5,3.379671,29.3611,2147.57,1.7313,22.157990
150,150,1.50000005e-5,3.261731,26.0947,2156.05,1.7387,22.319149
160,160,1.6e-5,3.275323,26.4518,2135.12,1.7341,22.161045
170,170,1.7e-5,3.179862,24.0434,2002.67,1.7356,20.116520
180,180,1.8e-5,3.037708,20.8574,2143.56,1.7303,19.513184
190,190,1.9e-5,3.045664,21.0240,2136.19,1.7289,19.341757
200,200,2e-5,3.009504,20.2773,1999.63,1.7312,19.392437
210,210,2.0999998e-5,2.929789,18.7237,2158.27,1.7397,18.209707
220,220,2.2e-5,2.910695,18.3696,2200.04,1.7711,19.163750
230,230,2.3e-5,2.842942,17.1662,2220.29,1.7899,18.442398
240,240,2.3999999e-5,2.811450,16.6340,2170.10,1.8008,17.304214
250,250,2.5e-5,2.791084,16.2987,2191.79,1.7709,17.269207
260,260,2.5999998e-5,2.845339,17.2074,2013.32,1.7748,18.499836
270,270,2.7e-5,2.720660,15.1903,2178.24,1.7677,16.804495
280,280,2.7999999e-5,2.701438,14.9012,2181.06,1.7553,15.576940
290,290,2.8999999e-5,2.693763,14.7872,2055.68,1.7288,17.293140
300,300,3.0000001e-5,2.687703,14.6979,2155.94,1.7337,19.363087
310,310,3.1e-5,2.684828,14.6557,2050.35,1.7357,18.255775
320,320,3.2e-5,2.697292,14.8395,2085.04,1.7283,16.703159
330,330,3.3e-5,2.613605,13.6482,2142.09,1.7332,15.953430
340,340,3.4e-5,2.606421,13.5505,1964.44,1.7300,16.757725
350,350,3.4999997e-5,2.558087,12.9111,2041.03,1.7293,16.355215
360,360,3.6e-5,2.594153,13.3852,2153.30,1.7395,16.337423
370,370,3.6999998e-5,2.553494,12.8519,2148.11,1.7345,16.653500
380,380,3.8e-5,2.514247,12.3573,2108.81,1.7508,15.766626
390,390,3.9e-5,2.537726,12.6509,2212.98,1.7855,16.229198
400,400,4e-5,2.551984,12.8325,2157.90,1.7933,16.497791
410,410,4.1e-5,2.499299,12.1740,2101.49,1.8135,16.101080
420,420,4.1999996e-5,2.547690,12.7775,2227.55,1.7958,16.213413
430,430,4.3e-5,2.479785,11.9387,2231.51,1.7950,15.913589
440,440,4.4e-5,2.477135,11.9071,2273.26,1.8472,16.169916
450,450,4.4999997e-5,2.503361,12.2235,2122.20,1.8194,15.544874
460,460,4.6e-5,2.539202,12.6696,2214.96,1.7828,14.204074
470,470,4.6999998e-5,2.519170,12.4183,1973.29,1.7458,15.198183
480,480,4.7999998e-5,2.461456,11.7219,2168.59,1.7491,17.638500
490,490,4.9e-5,2.507990,12.2802,2038.05,1.7444,15.167109
500,500,5e-5,2.468928,11.8098,2165.91,1.7453,15.000235
510,510,5.1e-5,2.406234,11.0921,2162.13,1.7414,13.561098
520,520,5.1999996e-5,2.402450,11.0502,2156.56,1.7391,14.358192
530,530,5.2999996e-5,2.454660,11.6425,2137.79,1.7443,15.822370
540,540,5.4e-5,2.414369,11.1827,2169.61,1.7560,15.663660
550,550,5.5e-5,2.384068,10.8490,2194.26,1.7715,15.669423
560,560,5.5999997e-5,2.452436,11.6166,2079.70,1.7682,15.392789
570,570,5.6999997e-5,2.388618,10.8984,2030.78,1.7850,15.503044
580,580,5.7999998e-5,2.366590,10.6610,2217.39,1.7893,13.562729
590,590,5.8999995e-5,2.350181,10.4875,2067.81,1.7800,14.996655
600,600,6.0000002e-5,2.397994,11.0011,2233.08,1.8019,16.329760
610,610,6.1e-5,2.427783,11.3337,1897.43,1.7796,15.016543
620,620,6.2e-5,2.317129,10.1465,2166.65,1.7467,15.685324
630,630,6.3e-5,2.321921,10.1952,2017.73,1.7319,14.625319
640,640,6.4e-5,2.315014,10.1251,1978.64,1.7326,13.930801
650,650,6.499999e-5,2.389871,10.9121,2146.85,1.7359,14.980296
660,660,6.6e-5,2.303822,10.0124,2157.63,1.7411,14.669546
670,670,6.7e-5,2.292056,9.8953,1876.67,1.7335,14.881716
680,680,6.8e-5,2.317754,10.1528,2152.16,1.7353,14.593633
690,690,6.9e-5,2.339450,10.3755,2118.88,1.7344,14.738223
700,700,6.9999995e-5,2.354286,10.5306,1992.31,1.7479,16.129904
710,710,7.0999995e-5,2.232186,9.3202,2084.34,1.7654,14.571487
720,720,7.2e-5,2.268826,9.6680,2204.31,1.7821,14.949376
730,730,7.3e-5,2.291227,9.8871,2010.30,1.7709,13.406370
740,740,7.3999996e-5,2.277212,9.7495,2197.10,1.7707,13.466211
750,750,7.4999996e-5,2.219963,9.2070,2164.59,1.7701,13.940111
760,760,7.6e-5,2.223615,9.2407,2186.15,1.7638,14.333310
770,770,7.7e-5,2.258472,9.5685,2067.67,1.7703,15.466383
780,780,7.8e-5,2.256815,9.5526,2201.62,1.7713,15.195417
790,790,7.9e-5,2.138287,8.4849,2161.46,1.7597,14.117704
800,800,8e-5,2.247989,9.4687,2179.51,1.7568,15.501871
810,810,8.1e-5,2.128217,8.3999,2180.68,1.7633,14.332773
820,820,8.2e-5,2.202227,9.0451,2178.55,1.7574,14.675438
830,830,8.3e-5,2.307381,10.0481,2179.83,1.7582,15.269305
840,840,8.399999e-5,2.290638,9.8812,2219.37,1.7884,15.025660
850,850,8.5e-5,2.176986,8.8197,2190.37,1.7650,14.833513
860,860,8.6e-5,2.125274,8.3752,2234.70,1.7993,15.034422
870,870,8.7e-5,2.121126,8.3405,2209.50,1.7804,14.061458
880,880,8.8e-5,2.229516,9.2954,2022.78,1.7643,14.302358
890,890,8.8999994e-5,2.153955,8.6189,2168.95,1.7903,13.711477
900,900,8.9999994e-5,2.129642,8.4119,2197.35,1.7723,14.120748
910,910,9.1e-5,2.065147,7.8865,2174.58,1.7553,12.389376
920,920,9.2e-5,2.062055,7.8621,2112.47,1.7484,13.343045
930,930,9.2999995e-5,2.125177,8.3744,2178.72,1.7515,12.400703
940,940,9.3999995e-5,2.006303,7.4358,2168.72,1.7467,12.107841
950,950,9.4999996e-5,2.055748,7.8127,2144.79,1.7503,12.566496
960,960,9.5999996e-5,2.201364,9.0373,2194.41,1.7716,14.211675
970,970,9.7000004e-5,2.070280,7.9270,2088.94,1.7580,13.798836
980,980,9.8e-5,2.008346,7.4510,2203.65,1.7760,12.991720
990,990,9.9e-5,2.049891,7.7671,1970.43,1.7469,12.960848
1000,1000,9.992107e-5,2.065695,7.8908,2060.08,1.7425,12.748893
1010,1010,9.991948e-5,1.987742,7.2990,2116.38,1.7608,12.253458
1020,1020,9.9917874e-5,1.959713,7.0973,2176.80,1.7502,12.417101
1030,1030,9.9916266e-5,1.940531,6.9624,2164.40,1.7482,12.118446
1040,1040,9.991463e-5,2.008890,7.4550,1988.59,1.7470,11.797553
1050,1050,9.991298e-5,1.913318,6.7755,2175.94,1.7520,11.606664
