step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.445920,231.8106,5086.08,5.0427,0.147495,0.063621
20,20,2e-5,4.748580,115.4202,4999.23,4.9856,0.141011,0.056138
30,30,3.0000001e-5,3.962622,52.5951,5019.81,4.9828,0.126259,0.046083
40,40,4e-5,3.433986,31.0000,4761.83,5.1458,0.100570,0.038253
50,50,5e-5,3.162323,23.6254,4868.79,4.8423,0.085641,0.030559
60,60,6.0000002e-5,3.013097,20.3503,4961.41,5.1747,0.074165,0.028452
70,70,6.9999995e-5,2.810147,16.6124,5200.10,5.1920,0.066934,0.025754
80,80,8e-5,2.748431,15.6181,5025.58,5.0632,0.068826,0.025496
90,90,8.9999994e-5,2.633915,13.9282,5017.31,5.0036,0.069897,0.024415
100,100,1e-4,2.495773,12.1311,5076.95,5.0503,0.071954,0.024864
110,110,1.1e-4,2.446972,11.5533,4775.23,5.0693,0.078749,0.025415
120,120,1.20000004e-4,2.353157,10.5187,4976.48,5.0565,0.077337,0.025132
130,130,1.2999999e-4,2.341901,10.4010,4697.10,5.0481,0.074880,0.025150
140,140,1.3999999e-4,2.275278,9.7306,5022.53,4.9894,0.069980,0.023840
150,150,1.4999999e-4,2.176067,8.8116,4788.19,4.9828,0.070012,0.023689
160,160,1.6e-4,2.142085,8.5172,5004.29,4.9858,0.071239,0.024455
170,170,1.7e-4,2.246155,9.4513,4570.54,4.9885,0.074637,0.025961
180,180,1.7999999e-4,2.170128,8.7594,5099.47,5.0717,0.072368,0.024566
190,190,1.8999999e-4,2.148360,8.5708,4865.12,4.8481,0.074025,0.024501
200,200,1.9983227e-4,2.217382,9.1833,4652.23,4.9173,0.073490,0.024889
210,210,1.9981508e-4,2.251095,9.4981,4385.87,4.8542,0.066431,0.023310
220,220,1.9979705e-4,2.033762,7.6428,5054.06,5.0442,0.065328,0.022891
230,230,1.997782e-4,1.955313,7.0661,4781.38,5.0361,0.065989,0.023239
240,240,1.997585e-4,2.034609,7.6493,4817.17,5.1244,0.066416,0.024036
250,250,1.9973796e-4,2.103859,8.1977,4872.38,5.0489,0.064899,0.023578
260,260,1.997166e-4,1.955001,7.0639,5157.16,5.0935,0.057814,0.021651
270,270,1.9969439e-4,1.919563,6.8180,5031.68,4.9956,0.059108,0.021774
280,280,1.9967135e-4,1.848268,6.3488,4975.14,4.9548,0.058494,0.021730
290,290,1.9964747e-4,1.748763,5.7475,4936.40,4.9086,0.062999,0.022223
300,300,1.9962277e-4,1.846405,6.3370,4631.06,4.8728,0.060916,0.022421
310,310,1.9959721e-4,1.817779,6.1582,4516.37,4.8549,0.059387,0.021944
320,320,1.9957083e-4,1.957891,7.0844,4845.46,4.8023,0.061780,0.023060
330,330,1.9954362e-4,1.926025,6.8622,4169.71,4.9869,0.057509,0.021941
340,340,1.9951556e-4,1.796014,6.0256,4914.36,4.8914,0.055616,0.020965
350,350,1.9948668e-4,1.922333,6.8369,4876.25,4.8554,0.055199,0.021414
360,360,1.9945696e-4,1.841310,6.3048,4655.98,4.7888,0.054151,0.020742
370,370,1.994264e-4,1.786669,5.9695,4732.44,4.7085,0.057044,0.020956
380,380,1.9939501e-4,1.759904,5.8119,4623.16,4.7598,0.060748,0.022238
390,390,1.993628e-4,1.859575,6.4210,4642.26,4.7366,0.060640,0.023082
400,400,1.9932975e-4,1.832335,6.2485,4920.35,4.9012,0.051271,0.020874
410,410,1.9929587e-4,1.780044,5.9301,4867.34,4.8437,0.051223,0.020465
420,420,1.9926114e-4,1.770617,5.8745,4557.81,4.8475,0.053604,0.021024
430,430,1.992256e-4,1.715713,5.5606,4959.94,5.0467,0.053024,0.020300
440,440,1.991892e-4,1.751054,5.7607,4839.13,4.9414,0.051340,0.020047
450,450,1.99152e-4,1.707599,5.5157,5057.24,5.0503,0.051176,0.020039
460,460,1.9911396e-4,1.606931,4.9875,5062.26,5.0553,0.050851,0.019282
470,470,1.9907509e-4,1.482282,4.4030,4777.06,4.9814,0.052198,0.019396
480,480,1.9903539e-4,1.611507,5.0104,4883.16,4.8406,0.054140,0.021149
490,490,1.9899487e-4,1.699445,5.4709,4685.62,4.8387,0.054915,0.021520
500,500,1.989535e-4,1.803683,6.0720,4703.63,4.7897,0.053593,0.021406
510,510,1.9891132e-4,1.550193,4.7124,4813.34,4.8058,0.048576,0.018918
520,520,1.988683e-4,1.634282,5.1258,4854.82,4.8350,0.051468,0.020594
530,530,1.9882445e-4,1.585201,4.8803,4843.99,4.8336,0.051140,0.020135
540,540,1.9877979e-4,1.652352,5.2192,4402.58,4.7868,0.052385,0.020224
550,550,1.9873428e-4,1.724943,5.6122,4851.53,4.8083,0.049355,0.020491
560,560,1.9868797e-4,1.782283,5.9434,4505.73,4.8814,0.046434,0.019980
570,570,1.9864082e-4,1.756464,5.7919,5034.19,4.9913,0.045986,0.019673
580,580,1.9859284e-4,1.750631,5.7582,4921.62,5.1134,0.047396,0.019478
590,590,1.9854403e-4,1.668327,5.3033,4793.31,4.7506,0.051089,0.020106
600,600,1.9849441e-4,1.695435,5.4490,4616.14,4.9904,0.048125,0.019730
610,610,1.9844396e-4,1.736249,5.6760,5096.88,5.0711,0.046185,0.019745
620,620,1.9839269e-4,1.612033,5.0130,5203.88,5.1796,0.043951,0.018730
630,630,1.9834058e-4,1.533455,4.6342,5290.10,5.2777,0.041999,0.017671
640,640,1.9828767e-4,1.526528,4.6022,5278.35,5.2517,0.045596,0.018508
650,650,1.9823393e-4,1.498139,4.4734,4864.01,5.1064,0.046816,0.018483
660,660,1.9817938e-4,1.608124,4.9934,4960.77,4.9482,0.050091,0.020340
670,670,1.9812399e-4,1.470114,4.3497,5035.67,4.9928,0.046284,0.018329
680,680,1.9806778e-4,1.502228,4.4917,4991.47,4.9720,0.048554,0.018945
690,690,1.9801076e-4,1.661502,5.2672,4957.07,5.2842,0.049612,0.020241
700,700,1.9795292e-4,1.475150,4.3717,5185.94,5.1698,0.046853,0.018937
710,710,1.9789426e-4,1.665604,5.2889,4731.92,5.1102,0.049791,0.020509
720,720,1.9783479e-4,1.490682,4.4401,5236.69,5.2194,0.042634,0.017702
730,730,1.9777448e-4,1.466391,4.3336,4723.32,5.0870,0.048102,0.019266
740,740,1.9771337e-4,1.494601,4.4576,5241.28,5.2087,0.049661,0.019260
750,750,1.9765143e-4,1.618296,5.0445,5348.81,5.3115,0.048260,0.019906
760,760,1.975887e-4,1.489981,4.4370,4874.78,5.0555,0.046885,0.018368
770,770,1.9752514e-4,1.426026,4.1621,4945.35,5.1537,0.046420,0.018290
780,780,1.9746076e-4,1.459857,4.3053,5267.71,5.2513,0.047371,0.018193
790,790,1.9739557e-4,1.443248,4.2344,4902.17,5.2929,0.047798,0.018331
800,800,1.9732956e-4,1.661520,5.2673,5163.70,5.1416,0.046648,0.019591
810,810,1.9726275e-4,1.486156,4.4201,5113.35,5.0905,0.043095,0.018339
820,820,1.9719511e-4,1.524409,4.5924,4833.02,5.2548,0.046560,0.019001
830,830,1.9712668e-4,1.549158,4.7075,4947.05,5.1471,0.046616,0.018732
840,840,1.9705744e-4,1.582550,4.8674,5172.18,5.1391,0.045926,0.019316
850,850,1.9698737e-4,1.537459,4.6528,4908.66,5.1596,0.046282,0.018967
860,860,1.969165e-4,1.651817,5.2164,5108.06,5.1372,0.047268,0.019666
870,870,1.9684482e-4,1.422742,4.1485,4789.11,5.1459,0.044671,0.018412
880,880,1.9677235e-4,1.454235,4.2812,5269.19,5.2263,0.048100,0.018560
890,890,1.9669905e-4,1.420990,4.1412,5207.24,5.1829,0.047716,0.018758
900,900,1.9662495e-4,1.567293,4.7937,5080.74,5.2991,0.044346,0.019241
910,910,1.9655006e-4,1.552478,4.7232,5305.56,5.2736,0.044069,0.018794
920,920,1.9647436e-4,1.412636,4.1068,4725.22,5.2264,0.042441,0.017501
930,930,1.9639783e-4,1.475898,4.3750,5286.79,5.2580,0.045618,0.018368
940,940,1.9632051e-4,1.483680,4.4091,4722.42,5.1237,0.045537,0.018453
950,950,1.962424e-4,1.580326,4.8565,5029.75,5.0455,0.046816,0.019212
960,960,1.9616348e-4,1.570554,4.8093,5086.25,5.0615,0.045896,0.018894
970,970,1.9608375e-4,1.238385,3.4500,5112.44,5.0886,0.042100,0.016131
980,980,1.9600324e-4,1.604448,4.9751,5048.57,5.0565,0.050174,0.020367
990,990,1.9592191e-4,1.418066,4.1291,5106.05,5.0793,0.043203,0.017423
1000,1000,1.9583979e-4,1.355874,3.8802,5203.02,5.1637,0.044383,0.017080
1010,1010,1.9575687e-4,1.439610,4.2191,4998.45,5.1431,0.047874,0.018619
1020,1020,1.9567317e-4,1.727537,5.6268,5204.14,5.1788,0.046589,0.020474
1030,1030,1.9558865e-4,1.655621,5.2363,5183.70,5.1515,0.044375,0.018737
1040,1040,1.9550335e-4,1.574577,4.8287,5130.77,5.1058,0.044263,0.018078
1050,1050,1.9541725e-4,1.369822,3.9346,5164.71,5.1316,0.044800,0.016990
1060,1060,1.9533036e-4,1.318874,3.7392,5198.48,5.1612,0.046429,0.017235
1070,1070,1.9524267e-4,1.379594,3.9733,4581.19,5.0291,0.047849,0.017913
1080,1080,1.9515419e-4,1.354624,3.8753,4897.68,5.0700,0.045945,0.017807
1090,1090,1.9506492e-4,1.479331,4.3900,5140.12,5.1132,0.046248,0.019032
1100,1100,1.9497485e-4,1.463109,4.3194,4750.81,5.1875,0.046813,0.018444
1110,1110,1.94884e-4,1.370391,3.9369,5252.31,5.2015,0.047077,0.018111
1120,1120,1.9479237e-4,1.368826,3.9307,5330.46,5.4108,0.044373,0.017898
1130,1130,1.9469995e-4,1.211790,3.3595,4930.12,4.8957,0.043710,0.016263
1140,1140,1.9460674e-4,1.423912,4.1533,4506.80,4.9127,0.046475,0.018434
1150,1150,1.9451273e-4,1.513026,4.5404,4924.80,4.9162,0.043527,0.018281
1160,1160,1.9441797e-4,1.334257,3.7972,4852.00,4.8482,0.040760,0.016117
1170,1170,1.9432239e-4,1.402943,4.0672,4885.43,4.8655,0.042310,0.016810
1180,1180,1.9422604e-4,1.603298,4.9694,4789.47,4.8549,0.045011,0.018467
1190,1190,1.9412891e-4,1.504152,4.5003,4606.68,4.8392,0.042768,0.017255
1200,1200,1.9403099e-4,1.332106,3.7890,4890.84,4.8417,0.042746,0.016235
1210,1210,1.939323e-4,1.329216,3.7781,4916.24,4.9000,0.042015,0.016474
1220,1220,1.9383284e-4,1.458199,4.2982,4814.02,4.8953,0.044035,0.017446
1230,1230,1.9373259e-4,1.453936,4.2799,4926.88,4.9029,0.043444,0.017761
